t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.645,7476,-0.05,-0.06,0.13,-0.020,-0.012,-0.995,2072,2056,2572,17,38,54
0.650,7477,0.01,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,37,57
0.655,7478,0.07,0.12,-0.18,-0.020,-0.012,-0.995,2072,2056,2572,19,35,59
0.660,7479,0.01,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,36,57
0.666,7480,-0.18,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,15,37,55
0.670,7481,-0.05,0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,36,58
0.675,7482,-0.12,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,16,38,56
0.680,7483,-0.05,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,37,57
0.685,7484,-0.05,-0.06,-0.18,-0.020,-0.012,-0.995,2072,2056,2572,17,38,59
0.690,7485,-0.05,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,38,56
0.695,7486,-0.05,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,37,56
0.700,7487,0.01,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,35,56
0.706,7488,0.01,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,38,56
0.710,7489,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
0.715,7490,0.01,-0.00,0.07,-0.028,-0.012,-0.995,2068,2056,2572,18,37,55
0.720,7491,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
0.725,7492,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
0.730,7493,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
0.735,7494,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.740,7495,0.13,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,20,38,56
0.746,7496,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
0.751,7497,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
0.755,7498,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.760,7499,0.07,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,19,37,57
0.766,7500,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.770,7501,-0.12,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,16,37,57
0.776,7502,0.07,-0.00,-0.05,-0.020,-0.020,-0.995,2072,2060,2572,19,37,57
0.780,7503,-0.05,0.06,-0.05,-0.020,-0.020,-0.995,2072,2060,2572,17,36,57
0.786,7504,-0.12,-0.00,-0.12,-0.028,-0.020,-0.995,2068,2060,2572,16,37,58
0.791,7505,0.01,-0.12,-0.05,-0.028,-0.020,-0.995,2068,2060,2572,18,39,57
0.796,7506,-0.05,0.06,-0.05,-0.028,-0.020,-0.988,2068,2060,2568,17,36,57
0.801,7507,-0.05,0.06,0.01,-0.028,-0.020,-0.995,2068,2060,2572,17,36,56
0.806,7508,0.07,-0.06,0.07,-0.028,-0.020,-0.995,2068,2060,2572,19,38,55
0.811,7509,0.01,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,37,56
0.816,7510,0.01,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,37,56
0.821,7511,0.01,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,37,56
0.826,7512,-0.05,-0.00,0.07,-0.028,-0.012,-0.995,2068,2056,2572,17,37,55
0.831,7513,-0.12,-0.06,0.07,-0.028,-0.012,-0.995,2068,2056,2572,16,38,55
0.836,7514,-0.05,-0.12,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,17,39,57
0.841,7515,0.01,-0.00,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,18,37,57
0.846,7516,0.07,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,19,37,56
0.851,7517,0.01,0.06,0.07,-0.028,-0.012,-0.995,2068,2056,2572,18,36,55
0.856,7518,0.01,0.06,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,36,56
0.861,7519,0.07,-0.06,0.01,-0.028,-0.012,-0.995,2068,2056,2572,19,38,56
0.866,7520,0.01,0.12,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,35,56
0.871,7521,-0.05,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,37,56
0.876,7522,-0.05,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,36,57
0.881,7523,0.07,0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,19,36,55
0.886,7524,-0.05,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,37,55
0.891,7525,0.01,-0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,38,55
0.896,7526,-0.05,-0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,38,55
0.901,7527,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
0.906,7528,0.07,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,19,37,55
0.911,7529,-0.12,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,16,37,55
0.916,7530,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
0.921,7531,0.01,-0.00,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,37,57
0.926,7532,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.931,7533,0.07,-0.00,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,19,37,57
0.936,7534,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
0.941,7535,-0.05,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,37,55
0.946,7536,0.01,-0.12,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,39,57
0.951,7537,0.01,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,38,56
0.956,7538,-0.05,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,17,38,57
0.961,7539,0.01,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,36,55
0.966,7540,0.01,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,38,57
0.971,7541,-0.05,-0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,38,58
0.976,7542,0.01,0.12,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,35,57
0.981,7543,0.07,-0.00,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,19,37,58
0.986,7544,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
0.991,7545,0.07,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,38,56
0.996,7546,-0.12,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,16,37,57
1.001,7547,0.01,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,36,57
1.006,7548,-0.18,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,15,38,57
1.011,7549,-0.05,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,37,57
1.016,7550,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
1.021,7551,0.07,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,19,36,55
1.026,7552,-0.05,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,36,56
1.031,7553,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
1.036,7554,-0.05,-0.12,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,39,55
1.041,7555,-0.05,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,37,56
1.046,7556,-0.12,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,16,38,57
1.051,7557,0.01,-0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,38,55
1.056,7558,-0.12,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,16,38,57
1.061,7559,-0.05,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,17,38,57
1.066,7560,-0.12,0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,16,36,55
1.071,7561,0.13,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,20,38,56
1.076,7562,0.07,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,19,37,57
1.081,7563,-0.05,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,37,56
1.086,7564,0.07,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,36,56
1.091,7565,-0.05,0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,36,58
1.096,7566,-0.05,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,35,56
1.101,7567,0.07,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,37,56
1.106,7568,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
1.111,7569,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
1.116,7570,-0.12,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,16,36,57
1.121,7571,0.01,-0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,38,55
1.126,7572,0.01,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,37,57
1.131,7573,0.07,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,36,56
1.136,7574,0.01,-0.00,0.07,-0.028,-0.012,-0.995,2068,2056,2572,18,37,55
1.141,7575,0.01,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,37,56
1.146,7576,-0.05,-0.06,0.01,-0.028,-0.012,-0.995,2068,2056,2572,17,38,56
